date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
03/04/2022,violet,Passiontide,Fifth Sunday of Lent,Passion Sunday: The beginning of Passiontide,1,Violet or Lenten Array,,,,,2021,2022,C,2
04/04/2022,violet,Passiontide,Monday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
05/04/2022,violet,Passiontide,Tuesday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
06/04/2022,violet,Passiontide,Wednesday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
07/04/2022,violet,Passiontide,Thursday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
08/04/2022,violet,Passiontide,Friday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
09/04/2022,red,Passiontide,Dietrich Bonhoeffer,"Theologian and Martyr, 1945",6,Red,,,,,2021,2022,C,2
10/04/2022,red,Holy Week,The Sunday of the Passion,Palm Sunday: The beginning of Holy Week,1,Red or Violet,,,,,2021,2022,C,2
11/04/2022,red,Holy Week,Monday of Holy Week,,1,Red or Violet,,,,,2021,2022,C,2
12/04/2022,red,Holy Week,Tuesday of Holy Week,,1,Red or Violet,,,,,2021,2022,C,2
13/04/2022,red,Holy Week,Wednesday of Holy Week,,1,Red or Violet,,,,,2021,2022,C,2
14/04/2022,white,Holy Week,Maundy Thursday,Paschal Triduum,1,White at the Eucharist,,,,,2021,2022,C,2
15/04/2022,red,Holy Week,Good Friday,Paschal Triduum,1,Red for the Liturgy; Hangings removed,,,,,2021,2022,C,2
16/04/2022,white,Holy Week,Holy Saturday,Paschal Triduum: Easter Eve,1,Hangings removed; White at the Easter Vigil,,,,,2021,2022,C,2
17/04/2022,white,Easter,Easter Day,Alleluia! Christ is risen!,1,White,,,,,2021,2022,C,2
18/04/2022,white,Easter,Monday of Easter week,Easter week,,White,,,,,2021,2022,C,2
19/04/2022,white,Easter,Tuesday of Easter week,Easter week,,White,,,,,2021,2022,C,2
20/04/2022,white,Easter,Wednesday of Easter week,Easter week,,White,,,,,2021,2022,C,2
21/04/2022,white,Easter,Thursday of Easter week,Easter week,,White,,,,,2021,2022,C,2
22/04/2022,white,Easter,Friday of Easter week,Easter week,,White,,,,,2021,2022,C,2
23/04/2022,white,Easter,Saturday of Easter week,Easter week,,White,,,,,2021,2022,C,2
24/04/2022,white,Easter,Second Sunday of Easter,Easter 2,1,White,,SPB First Sunday after Easter,,,2021,2022,C,2
25/04/2022,white,Easter,St Mark,Evangelist,4,Red,,,,,2021,2022,C,2
26/04/2022,white,Easter,Albert Ernest Laurie,"Priest, 1937",6,White,,,,,2021,2022,C,2
27/04/2022,white,Easter,Wednesday after Second Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
28/04/2022,white,Easter,Thursday after Second Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
29/04/2022,white,Easter,St Catherine of Siena,"Mystic and Teacher of the Faith, 1380",6,White,,,,,2021,2022,C,2
30/04/2022,white,Easter,Saturday after Second Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
01/05/2022,white,Easter,Third Sunday of Easter,Easter 3,1,White,,SPB Second Sunday after Easter,,"Consecretion of the Rt Rev Dr Keith Riglin as the Bishop of Argyll and the Isles, 2021",2021,2022,C,2
02/05/2022,red,Easter,St Philip and St James,Apostles,4,Red,Translated from 1 May,,,,2021,2022,C,2
03/05/2022,white,Easter,St Athanasius,"Bishop and Teacher of the Faith, 373",6,White,Translated from 2 May,,,,2021,2022,C,2
04/05/2022,white,Easter,Wednesday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
05/05/2022,white,Easter,Thursday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
06/05/2022,white,Easter,Friday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
07/05/2022,white,Easter,Saturday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
08/05/2022,white,Easter,Fourth Sunday of Easter,Easter 4 (Vocations Sunday),1,White,,SPB Third Sunday after Easter,,,2021,2022,C,2
09/05/2022,white,Easter,St Julian of Norwich,"Theologian, Anchoress and Mystic, c.1417",6,White,Translated from 8 May,,,,2021,2022,C,2
10/05/2022,white,Easter,Tuesday after Fourth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
11/05/2022,white,Easter,Wednesday after Fourth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
