Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Sunday - EASTER DAY,2023-04-09,,EASTER DAY [1] White,,,,"Sunday 9 April 2023

EASTER DAY [1] White
Week of Easter
Year A/1

EUCHARIST
Acts 10:34-43 or Jeremiah 31:1-6
Psalm 118:1-2, 14-24
Colossians 3:1-4 or Acts 10:34-43
John 20:1-8 or Matthew 28:1-10

The following readings are for occasions when the main (eucharistic) Easter service must be late in the day. They are not intended for Evening Prayer on Easter Day.

Isaiah 25:6-9
Psalm 114
1 Corinthians 5:6b-8
Luke 24:13-49

DAILY PRAYER: New Life: The Lord
Song of Solomon 3:2-5; 8:6-7
Revelation 1:12-18
John 20:11-18

ALTERNATIVE PSALMS
Morning: Psalms 114 and 117
Evening: Psalm 66

COLLECT
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Monday,2023-04-10,,Monday of Easter week,,,,"Monday 10 April 2023

Monday of Easter week
Week of Easter
Year A/1

EUCHARIST
Acts 2:14, 22-32
Psalm 16:1, 5-11
Matthew 28:8-15

DAILY PRAYER: New Life: The Lord
Jonah 2:1-9
Acts 2:14, 22-32* or 1 Corinthians 15:1-11
John 14:1-14

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECT
O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-04-11,,Tuesday of Easter week,,,,"Tuesday 11 April 2023

Tuesday of Easter week
Week of Easter
Year A/1

EUCHARIST
Acts 2:14, 36-41
Psalm 33:1-5, 18-22
John 20:11-18

DAILY PRAYER: New Life: The Lord
Isaiah 30:18-21
Acts 2:14, 36-41, (42-47)* or 1 Corinthians 15:12-28
John 14:15-31

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECT
O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-04-12,,Wednesday of Easter week,,,,"Wednesday 12 April 2023

Wednesday of Easter week
Week of Easter
Year A/1

EUCHARIST
Acts 3:1-10
Psalm 105:1-9
Luke 24:13-35

DAILY PRAYER: New Life: The Lord
Micah 7:7-15
Acts 3:1-10* or 1 Corinthians 15:(29), 30-41
John 15:1-11

Matthew 28:1-16

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECT
O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-04-13,,Thursday of Easter week,,,,"Thursday 13 April 2023

Thursday of Easter week
Week of Easter
Year A/1

EUCHARIST
Acts 3:11-26
Psalm 8 or 114
Luke 24:36b-48

DAILY PRAYER: New Life: The Lord
Ezekiel 37:1-14
Acts 3:11-26* or 1 Corinthians 15:41-50
John 15:12-27

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECT
O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-04-14,,Friday of Easter week,,,,"Friday 14 April 2023

Friday of Easter week
Week of Easter
Year A/1

EUCHARIST
Acts 4:1-12
Psalm 116:1-8
John 21:1-14

DAILY PRAYER: New Life: The Lord
Daniel 12:1-4, 13
Acts 4:1-12* or 1 Corinthians 15:51-58
John 16:1-15

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECT
O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-04-15,,Saturday of Easter week,,,,"Saturday 15 April 2023

Saturday of Easter week
Week of Easter
Year A/1

EUCHARIST
Acts 4:13-21
Psalm 118:1-4, 22-29
Mark 16:9-15

DAILY PRAYER: New Life: The Lord
Isaiah 25:1-9
Acts 4:13-21, (22-31)* or 2 Corinthians 4:16 - 5:10
John 16:16-33

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.""

COLLECT
O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-04-16,,Second Sunday of Easter [1] White; SPB First Sunday after Easter,,,,"Sunday 16 April 2023

Second Sunday of Easter [1] White
SPB First Sunday after Easter
Week of Easter 2
Year A/1

EUCHARIST
Acts 2:14a, 22-32
Psalm 16
1 Peter 1:3-9
John 20:19-31

DAILY PRAYER: New Life: The Lord
Daniel 6:(1-5), 6-23
1 Corinthians 5:6b-8
Mark 15:46 - 16:8

ALTERNATIVE PSALMS
Morning: Psalm 30:1-5
Evening: Psalm 143:1-11

COLLECT
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-04-17,,"Donnan, Abbot and Companions, Martyrs, c.617 [6] Red",,,,"Monday 17 April 2023

Donnan, Abbot and Companions, Martyrs, c.617 [6] Red
Monday after Second Sunday of Easter
Week of Easter 2
Year A/1

DAILY EUCHARIST
Acts 4:23-31
Psalm 2
John 3:1-8

DAILY PRAYER: New Life: The Lord
Daniel 1:1-21
1 John 1:1-10
John 17:1-11

COLLECT
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-04-18,,"Magnus of Orkney, Martyr, c.1116 [6] Red (translated from 16 April)",,,,"Tuesday 18 April 2023

Magnus of Orkney, Martyr, c.1116 [6] Red (translated from 16 April)
Tuesday after Second Sunday of Easter
Week of Easter 2
Year A/1

DAILY EUCHARIST
Acts 4:32-37
Psalm 93
John 3:7-15

DAILY PRAYER: New Life: The Lord
Daniel 2:1-16
1 John 2:1-11
John 17:12-19

COLLECT
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-04-19,,Wednesday after Second Sunday of Easter,,,,"Wednesday 19 April 2023

Wednesday after Second Sunday of Easter
Week of Easter 2
Year A/1

DAILY EUCHARIST
Acts 5:17-26
Psalm 34:1-8
John 3:16-21

DAILY PRAYER: New Life: The Lord
Daniel 2:17-30
1 John 2:12-17
John 17:20-26

COLLECT
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-04-20,,"Maelrubha of Applecross, Abbot, 722 [6] White",,,,"Thursday 20 April 2023

Maelrubha of Applecross, Abbot, 722 [6] White
Thursday after Second Sunday of Easter
Week of Easter 2
Year A/1

DAILY EUCHARIST
Acts 5:27-33
Psalm 34:15-22
John 3:31-36

DAILY PRAYER: New Life: The Lord
Daniel 2:31-49
1 John 2:18-29
Luke 3:1-14

COLLECT
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-04-21,,"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",,,,"Friday 21 April 2023

Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White
Friday after Second Sunday of Easter
Week of Easter 2
Year A/1

DAILY EUCHARIST
Acts 5:34-42
Psalm 27:1-8, 17-18
John 6:1-15

DAILY PRAYER: New Life: The Lord
Daniel 3:1-18
1 John 3:1-10
Luke 3:15-22

COLLECT
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-04-22,,Saturday after Second Sunday of Easter,,,,"Saturday 22 April 2023

Saturday after Second Sunday of Easter
Week of Easter 2
Year A/1

DAILY EUCHARIST
Acts 6:1-7
Psalm 331-5, 18-22
John 6:16-21

DAILY PRAYER: New Life: The Lord
Daniel 3:19 - 4:3
1 John 3:11-18
Luke 4:1-13

COLLECT
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-04-23,,Third Sunday of Easter [1] White; SPB Second Sunday after Easter,,,,"Sunday 23 April 2023

Third Sunday of Easter [1] White
SPB Second Sunday after Easter
Week of Easter 3
Year A/1

EUCHARIST
Acts 2:14a, 36-41
Psalm 116
1 Peter 1:17-23
Luke 24:13-35

DAILY PRAYER: New Life: The Lord
Haggai 1:13 - 2:9
1 Corinthians 3:10-17
John 2:13-22

ALTERNATIVE PSALMS
Morning: Psalm 48
Evening: Psalm 142

COLLECT
O God, 
who, in the death and resurrection of your Son, 
have raised up this fallen world: 
may we and all your people, 
whom you have saved from the gates of everlasting death, 
rejoice in your eternal presence; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-04-24,,"George, Patron of England, Martyr, c.303 [6] Red (translated from 23 April)",,,,"Monday 24 April 2023

George, Patron of England, Martyr, c.303 [6] Red (translated from 23 April)
Monday after Third Sunday of Easter
Week of Easter 3
Year A/1

DAILY EUCHARIST
Acts 6:8-15
Psalm 119:161-168
John 6:22-29

DAILY PRAYER: New Life: The Lord
Daniel 4:4-27
1 John 3:19 - 4:6
Luke 4:14-30

COLLECT
O God, 
who, in the death and resurrection of your Son, 
have raised up this fallen world: 
may we and all your people, 
whom you have saved from the gates of everlasting death, 
rejoice in your eternal presence; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-04-25,,"Mark, Evangelist [4] Red",,,,"Tuesday 25 April 2023

Mark, Evangelist [4] Red
Week of Easter 3
Year A/1

EUCHARIST
Isaiah 52:7-10
Psalm 2:7-13 or Psalm 119:9-16
Ephesians 4:7-16
Mark 1:1-15 or Mark 13:5-13

MORNING PRAYER: Festivals
Sirach 2:1-11
Acts 12:25 - 13:3

EVENING PRAYER: Festivals
Isaiah 62:6-12
2 Timothy 4:1-11

COLLECT
Almighty God, 
you have instructed your holy Church 
with the heavenly teaching of your evangelist, Saint Mark: 
give us grace, that we may be firmly grounded in its truth;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Tuesday after Third Sunday of Easter
Week of Easter 3
Year A/1

DAILY EUCHARIST
Acts 7:51 - 8:1a
Psalm 31:1-5
John 6:30-35

DAILY PRAYER: New Life: The Lord
Daniel 4:28-37
1 John 4:7-21
Luke 4:31-37

COLLECT
O God, 
who, in the death and resurrection of your Son, 
have raised up this fallen world: 
may we and all your people, 
whom you have saved from the gates of everlasting death, 
rejoice in your eternal presence; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-04-26,,"Albert Ernest Laurie, Priest, 1937 [6] White",,,,"Wednesday 26 April 2023

Albert Ernest Laurie, Priest, 1937 [6] White
Wednesday after Third Sunday of Easter
Week of Easter 3
Year A/1

DAILY EUCHARIST
Acts 8:1b-8
Psalm 66:1-6
John 6:35-40

DAILY PRAYER: New Life: The Lord
Daniel 5:1-12
1 John 5:1-12
Luke 4:38-44

COLLECT
O God, 
who, in the death and resurrection of your Son, 
have raised up this fallen world: 
may we and all your people, 
whom you have saved from the gates of everlasting death, 
rejoice in your eternal presence; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-04-27,,Thursday after Third Sunday of Easter,,,,"Thursday 27 April 2023

Thursday after Third Sunday of Easter
Week of Easter 3
Year A/1

DAILY EUCHARIST
Acts 8:26-40
Psalm 66:7-8, 14-18
John 6:44-51

DAILY PRAYER: New Life: The Lord
Daniel 5:13-31
1 John 5:13-20, (21)
Luke 5:1-11

COLLECT
O God, 
who, in the death and resurrection of your Son, 
have raised up this fallen world: 
may we and all your people, 
whom you have saved from the gates of everlasting death, 
rejoice in your eternal presence; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-04-28,,Friday after Third Sunday of Easter,,,,"Friday 28 April 2023

Friday after Third Sunday of Easter
Week of Easter 3
Year A/1

DAILY EUCHARIST
Acts 9:1-20
Psalm 117
John 6:52-59

DAILY PRAYER: New Life: The Lord
Daniel 6:1-15
2 John 1-13
Luke 5:12-26

COLLECT
O God, 
who, in the death and resurrection of your Son, 
have raised up this fallen world: 
may we and all your people, 
whom you have saved from the gates of everlasting death, 
rejoice in your eternal presence; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-04-29,,"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",,,,"Saturday 29 April 2023

Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White
Saturday after Third Sunday of Easter
Week of Easter 3
Year A/1

DAILY EUCHARIST
Acts 9:31-42
Psalm 116:10-17
John 6:60-69

DAILY PRAYER: New Life: The Lord
Daniel 6:16-28
3 John 1-15
Luke 5:27-39

COLLECT
O God, 
who, in the death and resurrection of your Son, 
have raised up this fallen world: 
may we and all your people, 
whom you have saved from the gates of everlasting death, 
rejoice in your eternal presence; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-04-30,,Fourth Sunday of Easter [1] White; SPB Third Sunday after Easter (Vocations Sunday),,,,"Sunday 30 April 2023

Fourth Sunday of Easter [1] White
SPB Third Sunday after Easter (Vocations Sunday)
Week of Easter 4
Year A/1

EUCHARIST
Acts 2:42-47
Psalm 23
1 Peter 2:19-25
John 10:1-10

DAILY PRAYER: New Life: The Lord
Ezra 3:1-13
Ephesians 2:11-22
Luke 19:37-48

ALTERNATIVE PSALMS
Morning: Psalm 29:1-10
Evening: Psalm 81:8-16

COLLECT
O God, 
the light of whose truth stretches out to those who go astray,
that they may return to the path of righteousness:
give your grace to all who profess themselves Christians,
that they may cast out what is harmful,
and pursue all that gives life;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Monday,2023-05-01,,"Philip and James, Apostles [4] Red",,,,"Monday 1 May 2023

Philip and James, Apostles [4] Red
Consecretion of the Rt Rev Dr Keith Riglin as the Bishop of Argyll and the Isles, 2021
Week of Easter 4
Year A/1

EUCHARIST
Isaiah 30:18-21
Psalm 15 or Psalm 119:1-8
2 Corinthians 4:1-6 or Ephesians 1:3-10
John 14:(1-5), 6-14

MORNING PRAYER: Festivals
Job 23:1-12
John 1:43-51

EVENING PRAYER: Festivals
Proverbs 4:7-18
John 12:20-26

COLLECT
Almighty Father, 
to know you is eternal life: 
may we know your Son Jesus Christ 
as the way, the truth, and the life; 
that, following the steps of your holy apostles, Philip and James, 
we may faithfully walk in the way that leads to your truth; 
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

--

Monday after Fourth Sunday of Easter
Week of Easter 4
Year A/1

DAILY EUCHARIST
Acts 11:1-18
Psalm 43
John 10:1-10

DAILY PRAYER: New Life: The Lord
Wisdom of Solomon 1:1 - 2:5
Colossians 1:1-14
Luke 6:1-11

COLLECT
O God, 
the light of whose truth stretches out to those who go astray,
that they may return to the path of righteousness:
give your grace to all who profess themselves Christians,
that they may cast out what is harmful,
and pursue all that gives life;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-05-02,,"Athanasius, Bishop and Teacher of the Faith, 373 [6] White",,,,"Tuesday 2 May 2023

Athanasius, Bishop and Teacher of the Faith, 373 [6] White
Tuesday after Fourth Sunday of Easter
Week of Easter 4
Year A/1

DAILY EUCHARIST
Acts 11:19-26
Psalm 87
John 10:22-30

DAILY PRAYER: New Life: The Lord
Wisdom of Solomon 2:21 - 3:9
Colossians 1:15-23
Luke 6:12-26""

COLLECT
O God, 
the light of whose truth stretches out to those who go astray,
that they may return to the path of righteousness:
give your grace to all who profess themselves Christians,
that they may cast out what is harmful,
and pursue all that gives life;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
